article,best_available_tier,rendered_tier_before,rendered_tier_after,action,at_best_tier,source_file
ijs/content/57/7/1429,tier1-full,missing,tier1-full,rebuilt-full,yes,html/4f07e3e3259c8945932cead1c607880518861b59.00012455.html
ijs/content/57/7/1435,tier1-full,missing,tier1-full,rebuilt-full,yes,html/46c2fab9e64bb8d6cbd133a9f85841ba454ee90b.00012456.html
ijs/content/57/7/1442,tier1-full,missing,tier1-full,rebuilt-full,yes,html/3105654aa965f671099005243278be014cf99ae3.00012458.html
ijs/content/57/7/1447,tier1-full,missing,tier1-full,rebuilt-full,yes,html/1277af329bdeff670a223f0ffadf5b9d2dba4ff3.00012459.html
ijs/content/57/7/1453,tier3-abstract,missing,tier3-abstract,abstract,yes,html/dc557409be1835aee581dceffaacd2babfed5f26.00012461.html
ijs/content/57/7/1456,tier3-abstract,missing,tier3-abstract,abstract,yes,html/f6a850240fe95fa55c4f1cd54a3226eedd745f2d.00012463.html
ijs/content/57/7/1461,tier1-full,missing,tier1-full,rebuilt-full,yes,html/37118ee819f779da864fcb177fbe2c9db5185407.00012465.html
ijs/content/57/7/1468,tier3-abstract,missing,tier3-abstract,abstract,yes,html/821c3fbeea1ae90f5d825304cb20322eb65a4538.00012467.html
ijs/content/57/7/1473,tier3-abstract,missing,tier3-abstract,abstract,yes,html/c1bf3eeefa251c7b658719991ce934e9fc9c1f24.00012469.html
ijs/content/57/7/1478,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/969e2e918a22ea47b024df60004ec4a84893b5c9.00012471.html
ijs/content/57/7/1482,tier3-abstract,missing,tier3-abstract,abstract,yes,html/a1bca6d8bf8cfb9479f9e0aa89bc1c6452b26871.00012473.html
ijs/content/57/7/1487,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/7bb748c127f11df7c97bcae3ebad828dbfe74b06.00012475.html
ijs/content/57/7/1493,tier3-abstract,missing,tier3-abstract,abstract,yes,html/7466363b28dae7f13ac87f1cbcfc252832fceb87.00012477.html
ijs/content/57/7/1499,tier3-abstract,missing,tier3-abstract,abstract,yes,html/d880664ccb5351aad91fda7d985864e9095759fd.00012479.html
ijs/content/57/7/1504,tier3-abstract,missing,tier3-abstract,abstract,yes,html/9b044c64b074912549fa6d7d65ef388ac2319231.00012481.html
ijs/content/57/7/1510,tier3-abstract,missing,tier3-abstract,abstract,yes,html/8094e6a12892c794b16a91d051b27fb9c806e1a9.00012483.html
ijs/content/57/7/1516,tier3-abstract,missing,tier3-abstract,abstract,yes,html/a82a11a0d76162c495a84e740b5208a953949308.00012484.html
ijs/content/57/7/1521,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/94b29c16b77c9724611e0dccea790649c783fe2d.00012486.html
ijs/content/57/7/1527,tier3-abstract,missing,tier3-abstract,abstract,yes,html/f47c0badcdcbf9d8b7498528095bcbd48110f5de.00012488.html
ijs/content/57/7/1535,tier3-abstract,missing,tier3-abstract,abstract,yes,html/71044f3ac73437a38affdc3079f20ce923955b66.00012490.html
ijs/content/57/7/1539,tier3-abstract,missing,tier3-abstract,abstract,yes,html/13d3b33ee05a610ed6b20058a5f3eb892311c9ef.00012491.html
ijs/content/57/7/1543,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/eaa6854bc7b62d5f6d90793a3a82f566d32615d5.00012493.html
ijs/content/57/7/1549,tier3-abstract,missing,tier3-abstract,abstract,yes,html/83507a672835f0889872a31161fb0a7f313d03cf.00012494.html
ijs/content/57/7/1554,tier3-abstract,missing,tier3-abstract,abstract,yes,html/b44bf0c04326d763bb2c325d224bc3e097e682a5.00012495.html
ijs/content/57/7/1561,tier3-abstract,missing,tier3-abstract,abstract,yes,html/9095f07f6519e2534be4427376cf3fc454bca416.00012497.html
ijs/content/57/7/1566,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/2351bf7fe39fe556fb2b14149b1b532678825f14.00012499.html
ijs/content/57/7/1572,tier3-abstract,missing,tier3-abstract,abstract,yes,html/2c0cfddb75e83453e0b05eaaa0bbf688e70497fc.00012501.html
ijs/content/57/7/1576,tier3-abstract,missing,tier3-abstract,abstract,yes,html/ea1c45ed939fdaca868feed287eb0b89402d7207.00012503.html
ijs/content/57/7/1582,tier2-pdf,missing,tier2-pdf(abstract+pdf),summarized-pdf,no,html/b914ff52cfc1dd92cd4661a20bb77a796d267607.00012505.html
ijs/content/57/7/1590,tier3-abstract,missing,tier3-abstract,abstract,yes,html/52cfdb9188a540bd30b0db279745bf3df3d55757.00012507.html
ijs/content/57/7/1594,tier3-abstract,missing,tier3-abstract,abstract,yes,html/931805ec718306f6e5c2c7d481d2d2d4ae30024e.00012508.html
ijs/content/57/7/1599,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/695545611c9d666be0d86ca6e383bde6adc5a0bc.00012509.html
ijs/content/57/7/1603,tier3-abstract,missing,tier3-abstract,abstract,yes,html/bd4489f1282a375025a71f194ec200faa9aefa0e.00012510.html
ijs/content/57/7/1607,tier3-abstract,missing,tier3-abstract,abstract,yes,html/0afc7425948864ddfdaeae5bf1d4e746acf4a044.00012512.html
ijs/content/57/7/1612,tier1-full,tier4-stub,tier1-full,rebuilt-full,yes,html/4c16b1ad6faf0d852e156ddafbddcb286d4c11bd.00012513.html
ijs/content/57/7/1619,tier1-full,missing,tier1-full,rebuilt-full,yes,html/9a8393205f696b5d608fd46e5755528f2779d86f.00012514.html
ijs/content/57/7/1625,tier3-abstract,missing,tier3-abstract,abstract,yes,html/373ee6cdefa339fbbcab827eca2dd6e636ae7eb4.00012515.html
ijs/content/57/7/1630,tier3-abstract,missing,tier3-abstract,abstract,yes,html/5e8bb2666ef1d9248720dc8bc36f9a0c2fa513c0.00012516.html
ijs/content/57/7/1635,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/aa5deaf9556fef2bead10878b5377c64bc31c4c8.00012517.html
ijs/content/57/7/1640,tier1-full,missing,tier1-full,rebuilt-full,yes,html/7ef8fb7021c64bee3f1a617abd1295ba773ecfbb.00012519.html
ijs/content/57/7/1647,tier1-full,missing,tier1-full,rebuilt-full,yes,html/598de91eb2fca25ba3af3e19ed65948f51dd0c85.00012521.html
ijs/content/57/7/1653,tier1-full,missing,tier1-full,rebuilt-full,yes,html/6601743dfacafb4307a9cb5f79d215cef75c48ae.00012523.html
ijs/content/57/7/1659,tier3-abstract,missing,tier3-abstract,abstract,yes,html/591d8f9391b6e251ee5ebede9c51f12bb824135b.00012525.html
ijs/content/57/7/1663,tier3-abstract,missing,tier3-abstract,abstract,yes,html/6253f0f7223060d0e1e6917cc1e16987db785f9d.00012526.html
ijs/content/57/7/1668,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/9d8bfefa05117d6cdba54cca5e59e387cef958f5.00012528.html
ijs/content/57/7/1672,tier3-abstract,missing,tier3-abstract,abstract,yes,html/7e8425b07ca00623d49d6e6f1c08ef8589cb8830.00012529.html
ijs/content/57/7/1673,tier3-abstract,missing,tier3-abstract,abstract,yes,html/93e294b7729332137f7c33daf7dd9c0970aa3c73.00012530.html
ijs/content/57/8/1675,tier3-abstract,missing,tier3-abstract,abstract,yes,html/a774597dcb74f608c7400ade9ddb38e3538b966d.00012531.html
ijs/content/57/8/1677,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/be9dbe5904dc684b0a0848b5ff10912c7aa14e2c.00012532.html
ijs/content/57/8/1679,tier1-full,missing,tier1-full,rebuilt-full,yes,html/e66d9ce6b3360bc76ee314c69be5df17e6fa2044.00012533.html
ijs/content/57/8/1685,tier3-abstract,missing,tier3-abstract,abstract,yes,html/93280b268f9177e81ad0b968e86a9c89592341ff.00012534.html
ijs/content/57/8/1689,tier3-abstract,missing,tier3-abstract,abstract,yes,html/7cf08d81028a97c189bbdd7b6e626ba9ed25106b.00012536.html
ijs/content/57/8/1694,tier3-abstract,missing,tier3-abstract,abstract,yes,html/9e1865253d8b0c891a4ad9221d21297546274589.00012537.html
ijs/content/57/8/1699,tier3-abstract,missing,tier3-abstract,abstract,yes,html/02c464a5f4990c6f572a8969bcec8b97193f81bc.00012539.html
ijs/content/57/8/1704,tier1-full,missing,tier1-full,rebuilt-full,yes,html/5cd294761fc6479d3f1933025ef93657e5a759be.00012540.html
ijs/content/57/8/1711,tier3-abstract,missing,tier3-abstract,abstract,yes,html/fde21cbd64cb31649a0b77b7f75eef1317411719.00012542.html
ijs/content/57/8/1717,tier3-abstract,missing,tier3-abstract,abstract,yes,html/4a5f1b7b2304715e6327527dc18eccd232883aa0.00012544.html
ijs/content/57/8/1721,tier3-abstract,missing,tier3-abstract,abstract,yes,html/37cba3085ccdc928c35629ddda8df6e869bb9cb4.00012546.html
ijs/content/57/8/1725,tier3-abstract,missing,tier3-abstract,abstract,yes,html/5e2e79ecd9ff23699031c6cff47db1d05dffe780.00012547.html
ijs/content/57/8/1729,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/8583c42d733900ca036ff859b753ad8fedcb0141.00012548.html
ijs/content/57/8/1735,tier1-full,missing,tier1-full,rebuilt-full,yes,html/872b6cc1f511a08d8cba25f6319ac76003f3372b.00012550.html
ijs/content/57/8/1740,tier3-abstract,missing,tier3-abstract,abstract,yes,html/ec819681e551b904ab64c773baabc3f640efdeac.00012551.html
ijs/content/57/8/1747,tier3-abstract,missing,tier3-abstract,abstract,yes,html/a44a2d92540caf72db8aeebc965ff861dbf4db9c.00012553.html
ijs/content/57/8/1752,tier3-abstract,missing,tier3-abstract,abstract,yes,html/003636fcbde304fca84c48b81158b2da25bfde40.00012554.html
ijs/content/57/8/1757,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/a1757185b34c76304b46fd6a5d2a4e570b49da65.00012555.html
ijs/content/57/8/1762,tier3-abstract,missing,tier3-abstract,abstract,yes,html/ef3e696a57e7eb8d36457f1bb8270855285e4ffa.00012556.html
ijs/content/57/8/1765,tier1-full,missing,tier1-full,rebuilt-full,yes,html/4ee85780aae3de47d7f390f5e831f4677b335e48.00012557.html
ijs/content/57/8/1770,tier3-abstract,missing,tier3-abstract,abstract,yes,html/5c82a3be3e8bff173030ee0e0ef76f95aae51790.00012558.html
ijs/content/57/8/1775,tier3-abstract,missing,tier3-abstract,abstract,yes,html/3f394053bec1dae006f55b948c3f150ef1b4b725.00012559.html
ijs/content/57/8/1780,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/c517239538342a84494c8720d808d76befdfe7c4.00012560.html
ijs/content/57/8/1784,tier1-full,missing,tier1-full,rebuilt-full,yes,html/040f91b899db57398f76180f290602b3afb05074.00012561.html
ijs/content/57/8/1788,tier3-abstract,missing,tier3-abstract,abstract,yes,html/049431bd92011701eff1722da1349b9c30881a3f.00012562.html
ijs/content/57/8/1793,tier3-abstract,missing,tier3-abstract,abstract,yes,html/2c1df4972ef71906d4f07536e252e7dfb9ac67f0.00012563.html
ijs/content/57/8/1799,tier3-abstract,missing,tier3-abstract,abstract,yes,html/bef06c0a880438d88db100bd4b5c78ff9b98f2be.00012565.html
ijs/content/57/8/1803,tier1-full,missing,tier1-full,rebuilt-full,yes,html/2170b8271d7767a29621f88f02e3a28367f6f636.00012566.html
ijs/content/57/8/1810,tier3-abstract,missing,tier3-abstract,abstract,yes,html/5b706a43a1434e231e87f62fe1e886934d3593e7.00012567.html
ijs/content/57/8/1815,tier3-abstract,missing,tier3-abstract,abstract,yes,html/400625342153e6ecb1563b786a03444579958cb1.00012569.html
ijs/content/57/8/1819,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/72b9b09bcef74c4f74feedc80220c336cae2aa56.00012571.html
ijs/content/57/8/1823,tier3-abstract,missing,tier3-abstract,abstract,yes,html/a9bd068e57f75e9d992ef6d2ee5526d1d4fe935f.00012573.html
ijs/content/57/8/1828,tier3-abstract,missing,tier3-abstract,abstract,yes,html/cc2d028810af8a2125b8df7a772a30211944d0d8.00012574.html
ijs/content/57/8/1834,tier3-abstract,missing,tier3-abstract,abstract,yes,html/b1918f2a3da60667a85b0e5464b042ed2cc3f2a6.00012575.html
ijs/content/57/8/1840,tier2-pdf,tier3-abstract,tier2-pdf(abstract+pdf),summarized-pdf,no,html/67b0ec2c28faa63c850a6374dece9dfd7b362f2e.00012576.html
ijs/content/57/8/1846,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/53b1927d411c8e58a7a02898d215599f69b00f45.00012577.html
ijs/content/57/8/1851,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/432ba7889b710c34282a70c1e00d7f35e33ddf9e.00012579.html
ijs/content/57/8/1855,tier3-abstract,missing,tier3-abstract,abstract,yes,html/102686912d3a8ae8d888479ae51dbd5ee9c9785a.00012580.html
ijs/content/57/8/1868,tier3-abstract,missing,tier3-abstract,abstract,yes,html/d4624bb19afaec443f206c84fb57d9046ca8cb7d.00012581.html
ijs/content/57/8/1872,tier3-abstract,tier3-abstract,tier3-abstract,abstract,yes,html/e7c9f6f9619a8e2bf25bee64c299129ea11c416b.00012582.html
ijs/content/57/8/1876,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/a31222375838418ac58e63156174eb8ddce282d8.00012584.html
ijs/content/57/8/1881,tier3-abstract,missing,tier3-abstract,abstract,yes,html/447a93b808d2688a692ad5a89b0edb2bf7e8dbc0.00012586.html
ijs/content/57/8/1886,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/29bb77add634cb96de1d3dab283e40ffade059bc.00012587.html
ijs/content/57/8/1891,tier1-full,missing,tier1-full,rebuilt-full,yes,html/044ae5d5cd9d51bc91e79ef7e49fd1ac2b184791.00012589.html
ijs/content/57/8/1901,tier3-abstract,missing,tier3-abstract,abstract,yes,html/786ef7afa24ffb14c70384064976e4725c18886a.00035427.html
ijs/content/57/8/1906,tier3-abstract,missing,tier3-abstract,abstract,yes,html/91811cd3e8c48566c006f9427560eb36b59a80d1.00012591.html
ijs/content/57/8/1909,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/8b2e685e4ef5ab2bbe58c883be639f918fc49ad9.00012593.html
ijs/content/57/8/1914,tier3-abstract,missing,tier3-abstract,abstract,yes,html/6e37491ad293a59e943d818944e61f96db4a7bfe.00012595.html
ijs/content/57/8/1919,tier3-abstract,missing,tier3-abstract,abstract,yes,html/d0f126a6e356c90fe7fdcbd072aa59fab84df414.00012597.html
ijs/content/57/8/1925,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/99573b4577c5117402e00de385a6191554baf0eb.00012599.html
ijs/content/57/9/1933,tier3-abstract,missing,tier3-abstract,abstract,yes,html/d0dbc0c1452c8a9b42490dac5a2aad1eb3ef0b11.00012601.html
ijs/content/57/9/1935,tier3-abstract,missing,tier3-abstract,abstract,yes,html/31cc48a46cec8e5a4661856f3d5c379650f1beff.00035432.html
ijs/content/57/9/1937,tier2-pdf,missing,tier2-pdf(abstract+pdf),summarized-pdf,no,html/e943f54684d18d7a74fce12d0ef374a0dc80bed9.00012602.html
ijs/content/57/9/1943,tier1-full,missing,tier1-full,rebuilt-full,yes,html/745a2999bb331441950b8c608dcf8406d31617ae.00012603.html
ijs/content/57/9/1948,tier3-abstract,missing,tier3-abstract,abstract,yes,html/37a197567cf46ba4a93deca617a26719fcabb302.00012605.html
ijs/content/57/9/1952,tier4-stub,missing,tier4-stub,stub,yes,html/5358528b547d8346cc38291e4f68ec7b4be13666.00012606.html
ijs/content/57/9/1956,tier3-abstract,missing,tier3-abstract,abstract,yes,html/fd73f9cdb2b78b9264065e142b835e670b67f58c.00012607.html
ijs/content/57/9/1960,tier3-abstract,missing,tier3-abstract,abstract,yes,html/087d2ed213475148aad45b289ce36d3fc285b89c.00012609.html
ijs/content/57/9/1966,tier4-stub,missing,tier4-stub,stub,yes,html/ca408c40b5ea10d93405baf333da905b0cdc7cb3.00007665.html
ijs/content/57/9/1970,tier3-abstract,missing,tier3-abstract,abstract,yes,html/94922ec4449b71b2fa56f4c3792196739db13357.00012611.html
ijs/content/57/9/1975,tier3-abstract,missing,tier3-abstract,abstract,yes,html/f3c577305c9f6143f73b81370b0bbe34c79c68ca.00012613.html
ijs/content/57/9/1984,tier3-abstract,missing,tier3-abstract,abstract,yes,html/7c1f0559c98a3361c0bbcc5e6c8e120dccb02b8b.00012614.html
ijs/content/57/9/1988,tier3-abstract,missing,tier3-abstract,abstract,yes,html/fe4e83fa40e631910594bd6713c77fcea4f9265e.00012616.html
ijs/content/57/9/1995,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/6289f5225ce904dab32edd36f4ba495e4809c77b.00012617.html
ijs/content/57/9/1999,tier3-abstract,missing,tier3-abstract,abstract,yes,html/a227d820cffc7c3089325d48cb7c371bfbde30fe.00007671.html
ijs/content/57/9/2004,tier3-abstract,missing,tier3-abstract,abstract,yes,html/fd3c195319804342bb35ffef82aab8da16abfd08.00012619.html
ijs/content/57/9/2009,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/f4c075d18899ec3ab62585eaf8157e7c9f0f7bf1.00012620.html
ijs/content/57/9/2014,tier3-abstract,missing,tier3-abstract,abstract,yes,html/ae146552a2445f1d6b7c8b1b2ce2670e25191bb1.00012622.html
ijs/content/57/9/2021,tier4-stub,missing,tier4-stub,stub,yes,html/54ab936e2a96e87f8a6e0af5eed706213764d5d8.00012623.html
ijs/content/57/9/2026,tier1-full,missing,tier1-full,rebuilt-full,yes,html/8f948ec57fc3115895108818649e46b732308414.00012624.html
ijs/content/57/9/2031,tier2-pdf,tier1-full,tier2-pdf(abstract+pdf),summarized-pdf,no,html/0b490eff772532aa57a7ec4b231f4b411cc5d882.00012625.html
ijs/content/57/9/2037,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/aec334eaabf16b6d06378dd94c28e94bf4a15a4f.00012627.html
ijs/content/57/9/2052,tier3-abstract,missing,tier3-abstract,abstract,yes,html/6092882edbedcbb05f63bad69c4b57dfd519959c.00012629.html
ijs/content/57/9/2056,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/bc669d5fc804b7cd67699ebd00431528bf1fde3b.00012631.html
ijs/content/57/9/2062,tier3-abstract,missing,tier3-abstract,abstract,yes,html/b57346402094f0028528ba38828bf2c49b943bc1.00012632.html
ijs/content/57/9/2067,tier3-abstract,missing,tier3-abstract,abstract,yes,html/25e65afb81c5b1e066bf1851712d7d4c4c2f139f.00007681.html
ijs/content/57/9/2073,tier3-abstract,missing,tier3-abstract,abstract,yes,html/068f1d7a28e28f01c4116fa5b809fa5de69a912f.00012633.html
ijs/content/57/9/2079,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/57/9/2084,tier3-abstract,missing,tier3-abstract,abstract,yes,html/07db99781916792c9e7413f3b93ea74296a09ec5.00012635.html
ijs/content/57/9/2089,tier3-abstract,missing,tier3-abstract,abstract,yes,html/0c0a066151c649df7289be69b95a0aa67b0b827e.00012636.html
ijs/content/57/9/2096,tier3-abstract,missing,tier3-abstract,abstract,yes,html/dbbf6fa475daf266521fb392d050376c98708154.00012637.html
ijs/content/57/9/2102,tier3-abstract,missing,tier3-abstract,abstract,yes,html/c8a0c5dbb54b164ac5d3ac9f7649a944cd8b18a4.00012638.html
ijs/content/57/9/2106,tier3-abstract,missing,tier3-abstract,abstract,yes,html/7c0d1e2febd97bab82cc50af1a1ea0629094e4ca.00012639.html
ijs/content/57/9/2110,tier3-abstract,missing,tier3-abstract,abstract,yes,html/c63e0cf2f31cd49dfd30ce44c250a04d8127f0bf.00012640.html
ijs/content/57/9/2114,tier2-pdf,missing,tier2-pdf(abstract+pdf),summarized-pdf,no,html/320aeeb90c2cf22a0207db8850fae38af01af34e.00012641.html
ijs/content/57/9/2119,tier3-abstract,missing,tier3-abstract,abstract,yes,html/0f1c189247418e74bf76b05ee3e0c313e39d4c2b.00012642.html
ijs/content/57/9/2125,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/763f2d127075af04bd31b9f753b5c7415f23045b.00012643.html
ijs/content/57/9/2129,tier3-abstract,missing,tier3-abstract,abstract,yes,html/22f9464c83a3ec09ec5b864a77f1355e36d38a60.00012644.html
ijs/content/57/9/2132,tier3-abstract,missing,tier3-abstract,abstract,yes,html/320a997d4ca4fedad551069ac795eaf9dd4fa84d.00007693.html
ijs/content/57/9/2137,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/babdcfa8c9ceba1b6f7eadcbc10646fd772e461c.00012645.html
ijs/content/57/9/2143,tier3-abstract,missing,tier3-abstract,abstract,yes,html/4f26f2683974828e174c86007bf748a7728e4451.00012647.html
ijs/content/57/9/2147,tier4-stub,missing,tier4-stub,stub,yes,
ijs/content/57/9/2151,tier3-abstract,missing,tier3-abstract,abstract,yes,html/9ced1f17ed53935ed8e18446a48a84f610f86a28.00012649.html
ijs/content/57/9/2155,tier1-full,missing,tier1-full,rebuilt-full,yes,html/8fe0841c7590c415d18582d3b72ff2aa2564f124.00012651.html
ijs/content/57/9/2163,tier3-abstract,missing,tier3-abstract,abstract,yes,html/884e7954eac48e99952f9eff94ec446486de0e01.00012653.html
ijs/content/57/9/2167,tier3-abstract,missing,tier3-abstract,abstract,yes,html/13e58e5792280e0274cb2b14ff24fa560e4c1697.00007699.html
ijs/content/57/9/2171,tier3-abstract,missing,tier3-abstract,abstract,yes,html/d2aa1149895b495757a642646a20e41224f41f9e.00012655.html
ijs/content/57/9/2185,tier3-abstract,missing,tier3-abstract,abstract,yes,html/814d1f452b1da8cf20b2907d56314a83df213ebe.00012656.html
ijs/content/57/9/2188,tier3-abstract,missing,tier3-abstract,abstract,yes,html/fe322eae937e2dfcb45b5cfefb6fe0a47d63d213.00012657.html
ijs/content/58/1/1,tier3-abstract,missing,tier3-abstract,abstract,yes,html/116130ae9d162382be3cf75ea3442dc6be837ec1.00012724.html
ijs/content/58/1/103,tier3-abstract,missing,tier3-abstract,abstract,yes,html/b4397bcfb57218803bf8ae73fa2b3c9d33028a6d.00012725.html
ijs/content/58/1/110,tier3-abstract,missing,tier3-abstract,abstract,yes,html/643afe56a425be7cd2d10bd205b15d7855443397.00012726.html
ijs/content/58/1/116,tier3-abstract,missing,tier3-abstract,abstract,yes,html/987ef25e58652ac02ea1cca6cb71e94c6f8663b3.00012727.html
ijs/content/58/1/12,tier3-abstract,missing,tier3-abstract,abstract,yes,html/da0d3108f1572386bb7ffda10addb98332d008a5.00012729.html
ijs/content/58/1/120,tier3-abstract,missing,tier3-abstract,abstract,yes,html/da63bbaef4afbd8b74755ad2940631b56b324129.00012730.html
ijs/content/58/1/125,tier1-full,missing,tier1-full,rebuilt-full,yes,html/d6356a3a4d745b67e9323eb790a0fbe9458cc26d.00012735.html
ijs/content/58/1/131,tier3-abstract,missing,tier3-abstract,abstract,yes,html/56ff24a8a142eaf7fda6ac12d46aa583234c9ff4.00012759.html
ijs/content/58/1/136,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/ce9c1cc5ec5e3e17c26c599d8a946e4174b41b83.00012760.html
ijs/content/58/1/139,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/5bee386829f36a687adfe52c220248c6f25c8ec5.00012762.html
ijs/content/58/1/144,tier3-abstract,missing,tier3-abstract,abstract,yes,html/30715b54c7dd0cd57d3cca93c0e7b2994e6b23ad.00012764.html
ijs/content/58/1/149,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/046723238ba8b60137aa08856de57448784c8fd8.00012766.html
ijs/content/58/1/160,tier3-abstract,missing,tier3-abstract,abstract,yes,html/20e9033067410e8cef955d859469b72f8dbc4804.00007779.html
ijs/content/58/1/164,tier3-abstract,missing,tier3-abstract,abstract,yes,html/53b7e890f92093e6050940043ce860884addbc4e.00012769.html
ijs/content/58/1/168,tier3-abstract,missing,tier3-abstract,abstract,yes,html/2cf2b14c6cb38e1d2d5b8217a16e4e90c27ec112.00012771.html
ijs/content/58/1/17,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/7aa67585a4990db18501b1be4e5b91004efa477a.00012773.html
ijs/content/58/1/173,tier3-abstract,missing,tier3-abstract,abstract,yes,html/df73fc11e82930c47bdde30764e62c619e007c43.00012774.html
ijs/content/58/1/178,tier3-abstract,missing,tier3-abstract,abstract,yes,html/78b995afe22f09a5c2b07ad5017b6603686cc3d5.00012776.html
ijs/content/58/1/184,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/0e08f9a60cfbc940ec9beac373d611ed11387254.00012777.html
ijs/content/58/1/190,tier3-abstract,missing,tier3-abstract,abstract,yes,html/1bae60f2aac003387c83a57a26964528fd1122c8.00012778.html
ijs/content/58/1/195,tier3-abstract,missing,tier3-abstract,abstract,yes,html/854c017c6c42eb3874197c4e66fffd2738adf36d.00012780.html
ijs/content/58/1/200,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/23aee63367b127dfc7527a371de5c2c8678b83fd.00012781.html
ijs/content/58/1/21,tier3-abstract,missing,tier3-abstract,abstract,yes,html/3cd261e54020e89b39d6d7c771f20b9e8df966a9.00012783.html
ijs/content/58/1/215,tier3-abstract,missing,tier3-abstract,abstract,yes,html/43cb8900ceb6583189b42c390e7fc3e67e5fcf72.00012784.html
ijs/content/58/1/221,tier3-abstract,missing,tier3-abstract,abstract,yes,html/9339252b4b712edba09f97c8c5e3c669ba51a555.00012786.html
ijs/content/58/1/226,tier3-abstract,missing,tier3-abstract,abstract,yes,html/78f8da8f7fb6f4c4224f33816bc2fbae4a5c3563.00012787.html
ijs/content/58/1/231,tier3-abstract,missing,tier3-abstract,abstract,yes,html/4792a605ed54dd4a669f823286f7d65a4352f561.00012822.html
ijs/content/58/1/237,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/3091197e96857808c5a4b646c8bcd3b9a7b9cb12.00012823.html
ijs/content/58/1/242,tier1-full,missing,tier1-full,rebuilt-full,yes,html/8939b8af2b473bf9d51ab64f8913b206f6bc4c74.00012824.html
ijs/content/58/1/251,tier3-abstract,tier4-stub,tier3-abstract,abstract,yes,html/51c3fc89da25e4202fea12b2086a5088be04825d.00012826.html
ijs/content/58/1/257,tier3-abstract,missing,tier3-abstract,abstract,yes,html/cbb779af43edb47e43fd87a089d384fcdf07af14.00012828.html
ijs/content/58/1/26,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/c601965ca38fa24c315091fb1366ccec3d132e77.00012830.html
ijs/content/58/1/262,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/1807ff515406bfad2b7a33d1c8ec2436e7c83e48.00012831.html
ijs/content/58/1/267,tier3-abstract,missing,tier3-abstract,abstract,yes,html/791abf3c1bb4732962499a631f39c32a3917b421.00012833.html
ijs/content/58/1/278,tier3-abstract,missing,tier3-abstract,abstract,yes,html/de31a88f1ff91783177cfe0c719b8771abd8cd1f.00012836.html
ijs/content/58/1/286,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/5af54f7418037f5eafba2401845b0f0cc7fbb919.00012838.html
ijs/content/58/1/290,tier3-abstract,missing,tier3-abstract,abstract,yes,html/e3820c8b51cc0056d3817b95af20a91a41156151.00012840.html
ijs/content/58/1/294,tier1-full,tier1-full,tier1-full,rebuilt-full,yes,html/bf113fd3462668a02da1ccd0e6384188985bf806.00012841.html
ijs/content/58/1/3,tier3-abstract,missing,tier3-abstract,abstract,yes,html/586e477b517ec5071b0819f4c395463af2e72c20.00012843.html
ijs/content/58/1/302,tier3-abstract,missing,tier3-abstract,abstract,yes,html/d2c1913e6fa0cf13a829c17348c5431a19d37c5a.00012844.html
ijs/content/58/1/308,tier3-abstract,tier1-full,tier3-abstract,abstract,yes,html/2bea33171e32c639178aceca2e47ec91c25bae4e.00007837.html
